target,probe_id,sector,trombone,exit_cc,exit_ip
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,1016393,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
careers635.com.pk,1016036,Commercial Facilities,False,,
careers635.com.pk,1016126,Commercial Facilities,False,,
careers635.com.pk,1016143,Commercial Facilities,False,,
careers635.com.pk,7613,Commercial Facilities,False,,
careers635.com.pk,64535,Commercial Facilities,False,,
careers635.com.pk,64722,Commercial Facilities,False,,
careers635.com.pk,65892,Commercial Facilities,False,,
careers635.com.pk,60223,Commercial Facilities,False,,
careers635.com.pk,62224,Commercial Facilities,False,,
careers635.com.pk,64078,Commercial Facilities,False,,
careers635.com.pk,1014872,Commercial Facilities,False,,
careers635.com.pk,1015679,Commercial Facilities,False,,
